"family","семья","familio"
"dislike","не нравиться","malŝati"
"like","нравиться","ŝati"
"valuable","ценный","valora"
"fake","поддельный","falsa"
"fragile","хрупкий","Fraĝila"
"standard","стандартный","Standarda"
"innovative","инновационный","noviga"
"authentic","подлинный","aŭtentika"
"durable","прочный","fortika"
"qualitative","качественный","kvalita"
"popular","популярная","populara"
"irrational","нерациональный","neracia"
"rational","рациональный","racia"
"talented","талантливый","talenta"
"intellectual","интеллектуальный","intelekta"
"unpopular","непопулярный","nepopulara"
"meaningless","бессмысленный","sensignifa"
"antique","античный","antikva"
"admirable","восхитительный","admirinda"
"notable","примечательный","Rimarkinda"
"splendid","великолепный","belega"
"futuristic","футуристический","futurisma"
"provocative","провокационный","provoka"
"expressive","выразительный","esprimplena"
"shocking","скандальный","Skandala"
"middle","средний","meza"
"only","единственный","sola"
"double","двойной","duobla"
"infinite","бесконечный","senfina"
"total","тотальный","totala"
"triple","тройной","triobla"
"extra","сверх","ekstra"
"western","западный","okcidenta"
"southern","южный","suda"
"worldwide","всемирный","tutmonda"
"eastern","восточный","orienta"
"extraterrestrial","инопланетный","ekstertera"
"central","центральный","centra"
"global","глобальный","globala"
"northern","северный","norda"
"already","уже","jam"
"soon","скоро","baldaŭ"
"after","после","post"
"before","до","antaŭ"
"just","только что","ĵus"
"recently","недавно","Lastatempe"
"nowadays","в наши дни","Nuntempe"
"here","тут","ĉi tie"
"there","там","tie"
"somewhere","где-то","ie"
"elsewhere","в другом месте","aliloke"
"everywhere","везде","Ĉie"
"slowly","медленно","Malrapide"
"quickly","быстро","Rapide"
"nearly","почти","preskaŭ"
"generally","вообще","ĝenerale"
"directly","напрямую","rekte"
"partially","частично","parte"
"silently","тихо","silente"
"automatically","автоматически","aŭtomate"
"aloud","вслух","laŭtvoĉe"
"naturally","естественно","nature"
"effectively","эффективно","Efike"
"excellently","великолепно","Bonege"
"totally","полностью","Tute"
"efficiently","действенно","efike"
"surprisingly","удивительно","Surprize"
"also","тоже","ankaŭ"
"almost","приблизительно","preskaŭ"
"so","настолько","tiel"
"as","как","kiel"
"perhaps","возможно","eble"
"although","хотя","kvankam"
"moreover","более того","krome"
"anyway","в любом случае","Ĉiuokaze"
"myself","я себя","min"
"himself","он себя","sin"
"yourself","ты себя","vin"
"itself","оно себя","sin"
"ourselves","мы себя","nin"
"themselves","они себя","sin"
"herself","она себя","sin"
"yourselves","вы себя","vin"
"after","после","post"
"before","до","antaŭ"
"until","до тех пор","ĝis"
"during","во время","dum"
"each","каждый","ĉiu"
"both","обе","ambaŭ"
"either","любой","iu ajn"
"neither","ни один","neniu"
"hyphen","дефис","streketo"
"apostrophe","апостроф","Apostrofo"
"asterisk","звёздочка","Asterisko"
"semicolon","точка с запятой","punktokomo"
"ampersand","амперсанд","ampersando"
"ellipsis","многоточие","Tripunkto"
"back","задний","Malantaŭa"
"possible","возможный","ebla"
"impossible","невозможный","neebla"
"real","реальный","reala"
"ineffective","неэффективный","neefika"
"front","передний","antaŭa"
"unreal","нереальный","nereala"
"effective","эффективный","Efika"
"national","национальный","nacia"
"useful","полезный","utila"
"international","интернациональный","internacia"
"useless","бесполезный","Senutila"
"exact","точный","ekzakta"
"inexact","неточный","neekzakta"
"informal","неформальный","Neformala"
"formal","формальный","formala"
"essential","эссенциальный","esenciala"
"worthy","достойный","inda"
"prestigious","престижный","prestiĝa"
"moderate","умеренный","modera"
"comparative","сравнительный","kompara"
"optimal","оптимальный","optimuma"
"integrated","интегрированный","integrita"
"fault","вина","kulpo"
"ideal","идеал","Idealo"
"objective","задача","celo"
"reality","реальность","realeco"
"standard","стандарт","standardo"
"great-grandfather","прадедушка","Praavo"
"great-grandmother","прабабушка","praavino"
"great-grandson","правнук","Pranepo"
"great-granddaughter","правнучка","pranepino"
"related","родственный","parenca"
"hereditary","наследственный","hereda"
"ancestry","предки","prapatroj"
"proposal","предложение","propono"
"intimacy","близость","Intimeco"
"romance","роман","romano"
"fiancé","жених","Fianĉo"
"fiancée","невеста","fianĉino"
"tradition","традиция","tradicio"
"festival","фестиваль","Festivalo"
"parade","парад","Parado"
"anniversary","юбилей","jubileo"
"occasion","событие","Okazo"
"surprise","сюрприз","surprizo"
"intelligent","умная","inteligenta"
"sincere","искренняя","sincera"
"capable","способный","kapabla"
"reliable","надёжный","fidinda"
"hard-working","трудолюбивый","laborema"
"strict","строгая","strikta"
"positive","положительный","pozitiva"
"dedicated","посвятивший себя","Dediĉita"
"loving","любящая","amanta"
"sensible","разумная","prudenta"
"witty","остроумный","sprita"
"competent","компетентный","kompetenta"
"idealistic","идеалистическая","idealisma"
"cruel","жестокая","Kruela"
"stubborn","упрямый","Obstina"
"anxious","озабоченный","Anksia"
"naughty","непослушный","petola"
"childish","инфантильный","infaneca"
"helpless","беспомощный","senhelpa"
"unsuccessful","безуспешный","malsukcesa"
"obnoxious","несносный","netolerebla"
"frank","откровенный","sincera"
"vicious","порочный","malvirta"
"sarcastic","саркастичная","sarkasma"
"cold-blooded","хладнокровный","sangmalvarma"
"mole","родинка","nevuso"
"height","рост","staturo"
"complexion","цвет лица","vizaĝkoloro"
"pallid","бледная","pala"
"posture","осанка","sintenado"
"lovely","прелестная","ĉarma"
"tanned","загорелая","sunbruna"
"drunk","пьяный","ebria"
"sober","трезвый","sobra"
"exhausted","изнурённый","elĉerpita"
"tipsy","подвыпивший","Ebrieta"
"thankful","признательная","dankema"
"worried","обеспокоенный","maltrankvila"
"enthusiastic","полный энтузиазма","Entuziasma"
"determined","решительная","decidema"
"upset","расстроенная","ĉagrenita"
"irritated","раздражённый","iritita"
"shocked","шокированный","ŝokita"
"sadness","грусть","tristeco"
"pride","гордость","fiero"
"boredom","скука","Enuo"
"motivation","мотивация","Motivado"
"sense of humour","чувство юмора","humursento"
"tension","напряжение","tensio"
"great","отличный","bonega"
"mysterious","таинственный","Mistera"
"offensive","оскорбительный","Ofenda"
"unbelievable","неправдоподобный","Nekredebla"
"believable","правдоподобный","kredebla"
"scary","страшный","Timiga"
"risky","рискованный","riska"
"super","супер","bonega"
"patience","терпение","pacienco"
"vanity","тщеславие","vanteco"
"patriotism","патриотизм","Patriotismo"
"vice","порок","malvirto"
"impatience","нетерпение","Malpacienco"
"value","ценность","valoro"
"smell","обоняние","flaro"
"sense","ощущение","sento"
"touch","осязание","tuŝsenso"
"hearing","слух","aŭdo"
"sight","зрение","vido"
"thigh","бедро","femuro"
"calf","икра","Suro"
"hip","бок","kokso"
"shin","голень","tibio"
"spleen","селезёнка","Lieno"
"metabolism","обмен веществ","metabolo"
"ferment","ферментировать","fermenti"
"hormone","гормон","hormono"
"digest","переваривать","digesti"
"thyroid gland","щитовидная железа","tiroido"
"cartilage","хрящ","kartilago"
"tendon","сухожилие","tendeno"
"ligament","связка","Ligamento"
"biceps","бицепс","Bicepso"
"triceps","трицепс","Tricepso"
"Achilles tendon","ахиллово сухожилие","akila tendeno"
"bring","приносить","alporti"
"wash","мыть","lavi"
"fall","падать","fali"
"take","брать","Preni"
"yawn","зевать","Oscedi"
"snore","храпеть","ronki"
"fall asleep","засыпать","ekdormi"
"wake up","просыпаться","vekiĝi"
"autism","аутизм","aŭtismo"
"blindness","слепота","Blindeco"
"medical condition","состояние здоровья","sanstato"
"insanity","безумие","frenezeco"
"alcoholism","алкоголизм","alkoholismo"
"paralysis","паралич","paralizo"
"deafness","глухота","Surdeco"
"albinism","альбинизм","albinismo"
"mutism","немота","muteco"
"diarrhoea","диарея","Diareo"
"hysteria","истерия","histerio"
"cramp","судорога","krampo"
"chronic","хронический","kronika"
"vomit","рвать","vomi"
"splinter","заноза","splitro"
"hangnail","заусенец","unghaŭteto"
"sprain","растяжение","tordiĝo"
"nosebleed","носовое кровотечение","nazosangado"
"clinic","поликлиника","Polikliniko"
"wheelchair","инвалидная коляска","Rulseĝo"
"crutches","костыли","lambastonoj"
"remedy","лечебное средство","Kuracilo"
"prosthesis","протез","protezo"
"infect","инфицировать","infekti"
"inject","делать инъекцию","Injekti"
"recover","выздоравливать","resaniĝi"
"check-up","медосмотр","sankontrolo"
"pediatrician","педиатр","pediatro"
"dermatologist","дерматолог","Dermatologo"
"cardiologist","кардиолог","kardiologo"
"dietitian","диетолог","Dietisto"
"insulin","инсулин","Insulino"
"dose","доза","dozo"
"antiseptic","антисептик","antiseptiko"
"prescribe","прописывать","preskribi"
"hut","хижина","Kabano"
"dwelling","жилище","Loĝejo"
"cottage","деревенский дом","dometo"
"penthouse","пентхаус","Tegmentapartamento"
"furniture","мебель","mebloj"
"wardrobe","гардероб","Vestoŝranko"
"cupboard","шкаф","Ŝranko"
"coffee table","журнальный столик","kafotablo"
"statuette","статуэтка","Statueto"
"candlestick","подсвечник","Kandelingo"
"hourglass","песочные часы","Sablohorloĝo"
"decoration","украшение","ornamaĵo"
"threshold","порог","sojlo"
"courtyard","внутренний двор","Korto"
"hedge","живая изгородь","Heĝo"
"front door","парадная дверь","antaŭa pordo"
"back door","задняя дверь","malantaŭa pordo"
"porch light","фонарь на крыльце","perona lampo"
"spacious","просторный","Vasta"
"dusty","пыльный","polva"
"furnished","меблированный","Meblita"
"cramped","тесный","angusta"
"dishwasher","посудомоечная машина","telerlavmaŝino"
"freezer","морозилка","Frostigujo"
"blender","блендер","Miksilo"
"mixer","миксер","Miksilo"
"microwave oven","микроволновая печь","mikroonda forno"
"funnel","воронка","Funelo"
"grater","тёрка","Rasilo"
"ladle","половник","kulerego"
"skewer","шампур","spiteto"
"spatula","лопаточка","spatulo"
"opener","открывашка","malfermilo"
"utensils","принадлежность","akcesoraĵo"
"air freshener","освежитель воздуха","aerfreŝigilo"
"bin bag","мешок для мусора","Rubsako"
"plastic bag","пластиковый пакет","plastika sako"
"household products","хозяйственные товары","hejmaj varoj"
"paper clip","скрепка","paperklipo"
"stapler","степлер","krampilo"
"staple","скоба","krampo"
"pencil sharpener","точилка","krajontranĉilo"
"atlas","атлас","Atlaso"
"souvenir","сувенир","Memoraĵo"
"audiobook","аудиокнига","aŭdlibro"
"comic","комикс","Komikso"
"greetings card","поздравительная открытка","Gratulkarto"
"catapult","рогатка","ŝtonĵetilo"
"bonnet","чепчик","Ĉapo"
"pushchair","детская коляска","puŝĉareto"
"potty","горшок","poteto"
"razor","бритва","razilo"
"tweezers","пинцет","Pinĉilo"
"shaving foam","пена для бритья","razŝaŭmo"
"razor blade","лезвие","razilklingo"
"pump","насос","Pumpo"
"screwdriver","отвёртка","Ŝraŭbilo"
"spanner","гаечный ключ","ŝraŭbŝlosilo"
"toolbox","ящик для инструментов","Ilkesto"
"shop window","витрина","vitrino"
"stand","стенд","stando"
"fitting room","примерочная","Provejo"
"counter","прилавок","vendotablo"
"department","отдел","fako"
"papaya","папайя","Papajo"
"avocado","авокадо","avokado"
"guava","гуава","gujavo"
"kiwi fruit","киви","kivio"
"passion fruit","маракуйя","pasifruito"
"feijoa","фейхоа","fejoo"
"tropical fruit","тропический фрукт","tropika frukto"
"chilli pepper","перец чили","ĉilio"
"turnip","репа","napo"
"artichoke","артишок","artiŝoko"
"leek","лук-порей","Poreo"
"shallot","лук-шалот","Ŝaloto"
"eel","угорь","Angilo"
"cod","треска","moruo"
"mackerel","скумбрия","Skombro"
"sole","морской язык","Soleo"
"condensed milk","сгущённое молоко","kondensita lakto"
"yoghurt","йогурт","Jogurto"
"whipped cream","взбитые сливки","Ŝlagkremo"
"milky","молочный","lakta"
"doughnut","пончик","Krapfo"
"pastry","выпечка","Pastaĵo"
"bagel","бублик","Bagelo"
"puff pastry","слоёное тесто","foliopasto"
"sauce","соус","saŭco"
"mayonnaise","майонез","Majonezo"
"gravy","подливка","sukaĵo"
"wasabi","васаби","vasabio"
"pesto","песто","pestosaŭco"
"fasting","пост","fastado"
"side dish","гарнир","Garnaĵo"
"takeaway","еда на вынос","forportmanĝaĵo"
"snack","перекус","Manĝeto"
"brunch","поздний завтрак","brunĉo"
"omelette","омлет","Omleto"
"syrup","сироп","Siropo"
"cheesecake","творожный пирог","fromaĝkuko"
"curry","карри","kareo"
"meatball","тефтелька","viandbuleto"
"cuisine","кухня","kuirarto"
"wedding cake","свадебный торт","nupta kuko"
"prepare","приготавливать","prepari"
"pour","наливать","verŝi"
"ingredient","ингредиент","Ingredienco"
"stir","размешивать","kirli"
"grate","натирать","Raspi"
"caffeine","кофеин","kafeino"
"glucose","глюкоза","glukozo"
"carbohydrate","углевод","karbohidrato"
"delicacy","деликатес","delikataĵo"
"cookery","кулинария","kuirarto"
"hot chocolate","горячий шоколад","varma ĉokolado"
"latte","латте","lateo"
"mocha","мокко","moko"
"cappuccino","капучино","Kapuĉino"
"iced coffee","холодный кофе","malvarma kafo"
"alcohol","алкоголь","Alkoholo"
"gin","джин","gino"
"cognac","коньяк","Konjako"
"cocktail","коктейль","Koktelo"
"bra","бюстгальтер","Mamzono"
"underwear","нижнее бельё","subvestaĵo"
"underpants","трусы","kalsono"
"knickers","женские трусы","kalsoneto"
"pyjamas","пижама","piĵamo"
"boxer shorts","семейные трусы","bokserkalsonoj"
"heel","каблук","Kalkanumo"
"high heels","туфли на высоком каблуке","Altkalkanumaj ŝuoj"
"barefoot","босой","Nudpieda"
"sole","подошва","plandumo"
"platform shoes","туфли на платформе","platformŝuoj"
"bow tie","галстук-бабочка","Bantkravato"
"handkerchief","носовой платок","Naztuko"
"cap","кепка","ĉapo"
"beret","берет","Bereto"
"cufflinks","запонки","manumbutonoj"
"braces","подтяжки","Ŝelkoj"
"wool","шерсть","lano"
"cotton","хлопок","Kotono"
"silk","шёлк","silko"
"leather","кожа","ledo"
"velvet","бархат","Veluro"
"linen","лён","Lino"
"nylon","нейлон","Najlono"
"flannel","фланель","flanelo"
"textile","текстиль","tekstilo"
"cashmere","кашемир","kaŝmiro"
"club","клуб","Klubo"
"laboratory","лаборатория","Laboratorio"
"locker","шкафчик","Ŝranketo"
"reading room","читальный зал","Legejo"
"student","студент","studento"
"academy","академия","akademio"
"doctorate","докторантура","doktorado"
"institute","институт","instituto"
"rector","ректор","Rektoro"
"dean","декан","Dekano"
"conservatoire","консерватория","konservatorio"
"formula","формула","Formulo"
"equation","уравнение","Ekvacio"
"algebra","алгебра","algebro"
"sum","сумма","sumo"
"fraction","дробь","Frakcio"
"magnet","магнит","Magneto"
"laser","лазер","lasero"
"vector","вектор","Vektoro"
"reflect","отражать","reflekti"
"Earth","Земля","Tero"
"Jupiter","Юпитер","Jupitero"
"Mars","Марс","Marso"
"Neptune","Нептун","Neptuno"
"Saturn","Сатурн","Saturno"
"Venus","Венера","Venuso"
"Mercury","Меркурий","Merkuro"
"Uranus","Уран","Urano"
"Pluto","Плутон","Plutono"
"hydrogen","водород","hidrogeno"
"oxygen","кислород","oksigeno"
"carbon","углерод","karbono"
"sulphur","сера","sulfuro"
"element","элемент","Elemento"
"microbe","микроб","Mikrobo"
"microorganism","микроорганизм","mikroorganismo"
"parasite","паразит","Parazito"
"bacteria","бактерия","bakterio"
"Asia","Азия","Azio"
"Africa","Африка","Afriko"
"Antarctica","Антарктида","Antarkto"
"North America","Северная Америка","Nord-Ameriko"
"South America","Южная Америка","Sudameriko"
"Europe","Европа","Eŭropo"
"Australia","Австралия","Aŭstralio"
"translation","перевод","traduko"
"definition","определение","difino"
"term","термин","Termino"
"vocabulary","словарный запас","vortprovizo"
"historian","историк","historiisto"
"archaeologist","археолог","Arkeologo"
"anthropologist","антрополог","Antropologo"
"explorer","исследователь","Esploristo"
"translator","переводчица","Tradukistino"
"secretary","секретарь","sekretario"
"accountant","бухгалтер","Kontisto"
"vet","ветеринар","veterinaro"
"chemist","аптекарь","Apotekisto"
"programmer","программист","Programisto"
"expert","эксперт","eksperto"
"technician","техник","Teknikisto"
"blacksmith","кузнец","Forĝisto"
"shepherd","пастух","paŝtisto"
"carpenter","плотник","ĉarpentisto"
"beekeeper","пчеловод","Abelisto"
"cowboy","ковбой","kovbojo"
"locksmith","слесарь","Seruristo"
"miller","мельник","muelisto"
"craftsman","ремесленник","metiisto"
"plumber","сантехник","Tubisto"
"contract","контракт","Kontrakto"
"print","распечатывать","presi"
"sign","подписывать","Subskribi"
"licence","лицензия","licenco"
"scan","сканировать","skani"
"paperwork","канцелярская работа","paperlaboro"
"stipulate","обусловливать","Kondiĉi"
"photocopy","ксерокопировать","fotokopii"
"founder","основатель","Fondinto"
"investor","инвестор","investanto"
"mediator","посредник","peranto"
"spokesman","делегат","Delegito"
"sponsor","спонсор","Sponsoro"
"associate","партнёр","partnero"
"representative","представитель","Reprezentanto"
"debt","долг","ŝuldo"
"cheque","чек","ĉeko"
"balance","баланс","bilanco"
"credit","кредит","Kredito"
"transaction","транзакция","Transakcio"
"bank transfer","банковский перевод","banka translokigo"
"novel","роман","Romano"
"fiction","художественная литература","fikcio"
"non-fiction","документальная литература","nefikcio"
"tale","повесть","novelo"
"proverb","пословица","Proverbo"
"description","описание","priskribo"
"saying","поговорка","diraĵo"
"dialogue","диалог","Dialogo"
"quotation","цитата","Citaĵo"
"monologue","монолог","Monologo"
"opera","опера","Opero"
"orchestra","оркестр","orkestro"
"composer","композитор","komponisto"
"choir","хор","ĥoro"
"operetta","оперетта","Opereto"
"classical music","классическая музыка","klasika muziko"
"sheet music","партитура","Partituro"
"bow","смычок","Arĉo"
"harp","арфа","harpo"
"viola","альт","aldviolono"
"lyre","лира","Liro"
"string instrument","струнный инструмент","kordinstrumento"
"electric guitar","электрогитара","elektra gitaro"
"mosaic","мозаика","Mozaiko"
"silhouette","силуэт","silueto"
"origami","оригами","Origamio"
"engraving","гравирование","Gravurado"
"contrast","контраст","Kontrasto"
"colorful","цветной","kolora"
"negative","негатив","negativo"
"darkroom","фотолаборатория","mallumĉambro"
"black-and-white","черно-белый","nigrablanka"
"legend","легенда","legendo"
"mirage","мираж","miraĝo"
"mystery","тайна","mistero"
"phoenix","феникс","Fenikso"
"genie","джинн","ĝino"
"superstition","суеверие","Superstiĉo"
"talisman","талисман","talismano"
"pentagram","пентаграмма","Pentagramo"
"magic","магический","magia"
"row","ряд","Vico"
"seat","место","sidloko"
"auditorium","зрительный зал","spektejo"
"backcloth","фон сцены","fonkurteno"
"cloakroom","гардероб","vestogardejo"
"vestibule","вестибюль","Vestiblo"
"orchestra pit","оркестровая яма","Orkestrofoso"
"yoga","йога","jogo"
"collection","коллекция","Kolekto"
"calligraphy","каллиграфия","kaligrafio"
"meditation","медитация","meditado"
"entertainment","развлечение","distro"
"tent peg","колышек","tendopaliseto"
"pitch a tent","поставить палатку","starigi tendon"
"camper van","дом на колёсах","kampadveturilo"
"airbed","надувной матрац","aermatraco"
"hook","крючок","Hoko"
"bait","наживка","Logaĵo"
"net","сеть","Reto"
"bite","клевать","mordi"
"backgammon","нарды","Triktrako"
"roulette","рулетка","Ruleto"
"foosball","настольный футбол","Tablofutbalo"
"leapfrog","чехарда","Kavalireto"
"peekaboo","ку-ку","kuku"
"billiards","бильярд","Bilardo"
"lacrosse","лакросс","Lakroso"
"archery","стрельба из лука","arkpafado"
"netball","нетбол","retpilkado"
"rally","ралли","Ralio"
"table tennis","настольный теннис","tabloteniso"
"jogging","бег трусцой","trotado"
"jump","прыжок","Salto"
"sit-up","качание корпуса","Sidleviĝo"
"weight training","силовая гимнастика","Pezotrejnado"
"oar","весло","Remilo"
"shuttlecock","волан","volano"
"racket","ракетка","Rakedo"
"skipping rope","скакалка","Saltŝnuro"
"referee","арбитр","arbitro"
"league","лига","Ligo"
"cheerleader","чирлидерша","ĉirlidistino"
"loser","проигравший","perdinto"
"contestant","участник","Konkursanto"
"supporter","болельщик","fano"
"mascot","персонаж-талисман","Maskoto"
"cyclist","велосипедист","Biciklisto"
"boxer","боксёр","boksisto"
"rider","наездник","Rajdanto"
"sportsman","спортсмен","Sportisto"
"hostel","хостел","Hostelo"
"accommodation","жильё","loĝejo"
"booking","бронирование","rezervo"
"resort","курорт","feriejo"
"tunnel","туннель","tunelo"
"labyrinth","лабиринт","Labirinto"
"beam","балка","Trabo"
"plank","планка","Lato"
"foreman","прораб","laborestro"
"woodworking","резьба по дереву","Lignoskulptado"
"overhaul","капитальный ремонт","reviziado"
"hard hat","каска","kasko"
"park","парковать","Parki"
"avenue","авеню","Avenuo"
"boulevard","бульвар","bulvardo"
"shortcut","кратчайший путь","rektavojo"
"kerb","бордюр","trotuarrando"
"province","провинция","Provinco"
"empire","империя","Imperio"
"hometown","родной город","Hejmurbo"
"rural","сельский","kampara"
"urban","городской","urba"
"vehicle","транспортное средство","veturilo"
"carriage","карета","kaleŝo"
"bulldozer","бульдозер","Buldozo"
"scooter","мотороллер","Skutero"
"mobile home","трейлер","Ruldometo"
"compartment","купе","Kupeo"
"monorail","монорельс","monorelo"
"driver's compartment","кабина машиниста","stirbudo"
"sleeping car","спальный вагон","dormvagono"
"rail network","железнодорожная сеть","fervoja reto"
"arrival","прибытие","Alveno"
"departure","отправка","foriro"
"landing","приземление","Alteriĝo"
"stopover","пересадка","transŝipiĝo"
"co-pilot","второй пилот","Kunpiloto"
"crew","экипаж","Ekipaĝo"
"sink","тонуть","droni"
"float","плавать на поверхности","Flosi"
"barge","баржа","barĝo"
"hovercraft","судно на воздушной подушке","Aerglitilo"
"lifeboat","спасательная шлюпка","savboato"
"nautical","мореходный","nautika"
"motorboat","моторная лодка","Motorboato"
"pass","проезд","Trapaso"
"bypass","объездная дорога","ĉirkaŭvojo"
"one-way","односторонний","unudirekta"
"bus station","автобусный парк","busodeponejo"
"airbag","подушка безопасности","Aersako"
"driver's seat","место водителя","ŝoforseĝo"
"seat belt","ремень безопасности","sekurzono"
"child seat","детское автокресло","infana aŭtoseĝo"
"back seat","заднее сиденье","malantaŭa sidloko"
"headrest","подголовник","kapripozilo"
"software","программное обеспечение","Programaro"
"user-friendly","удобный в употреблении","uzantamika"
"interactive","интерактивный","interaga"
"restart","перезагружать","restartigi"
"system","система","sistemo"
"forward","пересылать","plusendi"
"spam","спам","Spamo"
"inbox","входящая почта","Ricevujo"
"attachment","вложение","Aldonaĵo"
"e-mail","электронная почта","retpoŝto"
"e-mail address","адрес электронной почты","retpoŝtadreso"
"login","логин","salutnomo"
"contacts","контакты","kontaktoj"
"connection","соединение","konekto"
"dial","набирать","diski"
"voice message","голосовое сообщение","voĉmesaĝo"
"addressee","адресат","adresato"
"airmail","авиапочта","Aerpoŝto"
"recipient","получатель","ricevanto"
"sender","отправитель","Sendinto"
"damage","ущерб","damaĝo"
"explosion","взрыв","Eksplodo"
"baton","дубинка","bastono"
"clue","улика","indico"
"badge","значок","Insigno"
"incident","инцидент","Incidento"
"terrorism","терроризм","Terorismo"
"assassination","политическое убийство","atenco"
"espionage","шпионаж","Spionado"
"burglary","кража со взломом","rompoŝtelo"
"abuse","жестокое обращение","mistraktado"
"intrusion","вторжение","entrudiĝo"
"thief","вор","ŝtelisto"
"terrorist","террорист","Teroristo"
"gangster","гангстер","Gangstero"
"attacker","нападающий","Atakanto"
"safety","безопасность","sekureco"
"justice","справедливость","Justeco"
"injustice","несправедливость","Maljusteco"
"innocence","невиновность","senkulpeco"
"courthouse","здание суда","Juĝejo"
"courtroom","зал суда","juĝejo"
"warship","военный корабль","Militŝipo"
"invasion","нашествие","Invado"
"march","марш","Marŝo"
"strategy","стратегия","Strategio"
"provisions","провизия","provizaĵoj"
"target","мишень","celtabulo"
"bomb","бомба","Bombo"
"dynamite","динамит","dinamito"
"grenade","граната","Grenado"
"torpedo","торпеда","Torpedo"
"detonator","детонатор","detonilo"
"detonate","детонировать","detoni"
"hunger","голод","malsato"
"save","спасать","savi"
"donation","пожертвование","donaco"
"suffering","страдание","suferado"
"rain","идёт дождь","Pluvas"
"temperature","температура","Temperaturo"
"drought","засуха","sekeco"
"degree","градус","grado"
"humidity","влажность","humideco"
"snow","идёт снег","Neĝas"
"phenomenon","феномен","fenomeno"
"landslide","оползень","terglito"
"disastrous","бедственный","dezastra"
"catastrophic","катастрофический","Katastrofa"
"oasis","оазис","oazo"
"steppe","степь","stepo"
"wilderness","дикая местность","Sovaĝejo"
"picturesque","живописный","pitoreska"
"peak","пик","Pinto"
"coral reef","коралловый риф","korala rifo"
"iceberg","айсберг","glacimonto"
"strait","пролив","Markolo"
"waterway","водный путь","akvovojo"
"spring","родник","Fonto"
"nature","природа","Naturo"
"greenhouse effect","парниковый эффект","forceja efiko"
"global warming","глобальное потепление","tutmonda varmiĝo"
"environment","окружающая среда","Medio"
"pearl","жемчуг","perlo"
"ivory","слоновая кость","eburo"
"turquoise","бирюза","turkiso"
"agate","агат","agato"
"topaz","топаз","topazo"
"aluminium","алюминий","aluminio"
"nickel","никель","nikelo"
"platinum","платина","plateno"
"rust","ржавчина","Rusto"
"alder","ольха","alno"
"aspen","осина","Tremolo"
"acacia","акация","akacio"
"sapling","саженец","arbido"
"almond tree","миндальное дерево","migdalarbo"
"pistachio tree","фисташковое дерево","Pistakujo"
"cashew tree","дерево кешью","kaĵuarbo"
"hazelnut tree","лещина","Avelujo"
"macadamia nut tree","дерево макадамия","makadamiarbo"
"bush","кустарник","Arbusto"
"blueberry","куст черники","Mirtelujo"
"rosemary","куст розмарина","rosmaro"
"cranberry","куст клюквы","oksikokujo"
"holly","падуб","Ilekso"
"forget-me-not","незабудка","Miozoto"
"chrysanthemum","хризантема","krizantemo"
"anemone","ветреница","Anemono"
"camellia","камелия","kamelio"
"cyclamen","цикламен","Ciklameno"
"fungus","грибок","fungo"
"fern","папоротник","filiko"
"hop","хмель","Lupolo"
"camomile","ромашка","kamomilo"
"alfalfa","люцерна","Lucerno"
"rushes","ситник","Junkoj"
"tansy","пижма","tanazio"
"vineyard","виноградник","Vinberejo"
"orchard","фруктовый сад","fruktarbejo"
"barn","амбар","garbejo"
"windmill","ветряная мельница","Ventmuelilo"
"herbarium","гербарий","Herbario"
"breeder","животновод","Bredisto"
"agriculturist","земледелец","agrikulturisto"
"ferret","хорёк","Furo"
"chinchilla","шиншилла","Ĉinĉilo"
"agouti","агути","Agutio"
"guinea pig","морская свинка","Kobajo"
"gerbil","песчанка","Ĝerbilo"
"lynx","рысь","Linko"
"leopard","леопард","leopardo"
"cheetah","гепард","Gepardo"
"puma","пума","Pumo"
"tame","приручённый","malsovaĝa"
"panther","пантера","Pantero"
"wildcat","лесной кот","Sovaĝkato"
"bobcat","рыжая рысь","ruĝa linko"
"seagull","чайка","Mevo"
"crane","журавль","Gruo"
"lark","жаворонок","alaŭdo"
"robin","зарянка","ruĝgorĝulo"
"cardinal","красный кардинал","kardinalo"
"pike","щука","Ezoko"
"beluga","белуга","huzo"
"flounder","камбала","fleso"
"minnow","гольян","fokseno"
"reptile","рептилия","reptilio"
"chameleon","хамелеон","Kameleono"
"monitor lizard","варан","varano"
"gecko","геккон","Gekono"
"caiman","кайман","kajmano"
"wolf spider","паук-волк","luparaneo"
"black widow","чёрная вдова","nigra vidvino"
"spider's web","паутина","araneaĵo"
"arachnid","паукообразное","araknido"
"tarantula","тарантул","tarantulo"
"pullet","курочка","kokidino"
"cockerel","петушок","Virkokido"
"eaglet","орлёнок","Aglido"
"nestling","птенец","birdido"
"horns","рога","Kornoj"
"mane","грива","kolhararo"
"cocoon","кокон","Kokono"
"tusks","бивни","Dentegoj"
"snout","рыло","muzelo"
"whiskers","усы","lipharoj"
"aquarium","аквариум","Akvario"
"cage","клетка","kaĝo"
"stable","конюшня","stalo"
"stall","стойло","Stalo"
"neigh","ржание","Henado"
"hiss","шипение","Siblo"
"roar","рёв","Muĝo"
"buzz","жужжание","zumado"
"chirp","чириканье","pepado"
"thousand","тысяча","mil"
"million","миллион","miliono"
"ten thousand","десять тысяч","dek mil"
"digit","цифра","cifero"
"trillion","триллион","triliono"
"numerical","числовой","nombra"
"billion","миллиард","Miliardo"
"one hundred thousand","сто тысяч","cent mil"
