row	batch	esperanto	severity	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
1881	1801-1900	vojo	low	scope_zh:12|scope_ko:20	12	20	{Ｂ}道, 道路; 通路, 街道; 道筋, 進路, 経路; 【情】パス, 経路; 《転》行き方, 方法, 手段	道路；路程；途径；方法；手段	길, 도로, 경로, 방법, 수단
1883	1801-1900	voli	low	scope_zh:13	13	11	{Ｂ}［他］（～する）意志がある, ～したいと思う, ～したがる; （～ことを）望む, 願う; （ものを）欲する, 欲しがる; （～に）行きたい, 行きたがる	愿意，想要	무엇을 바라거나 하고자 하다
1890	1801-1900	voĉo	low	scope_zh:16|scope_ko:16	16	16	{Ｂ}声, 声音, 発音; （裁決時の）票, 意見; 【楽】声部; 【Ｇ】態	嗓音，话语，表决	사람이 내는 목소리
1910	1901-2000	ĉelo	low	scope_zh:25|scope_ko:18	25	18	{Ｂ}独居房; 【生】細胞; 【虫】（ハチの）巣穴; 【政】細胞; 【理】電子管, セル; 【遊】（チェス盤などの）ます目	小房间，单间，囚室；蜂房，细胞	작은 방, 특히 감옥의 독방; (생물) 세포; (벌집) 벌집 칸
1912	1901-2000	ĉeno	low	scope_ko:12	11	12	{Ｂ}鎖, チェーン; 《転》連鎖; 【通】ネット局; （販売店などの）チェーン, 系列	链子，锁链，一连串；联播	쇠사슬, 사슬 모양으로 이은 것
1923	1901-2000	ĉielo	low	scope_zh:14|scope_ko:17	14	17	{Ｂ}空, 大空, 天, >>〜, >>firmamento; 【宗】天, 天国, >>〜	天，天空；【宗】天堂	하늘, 【종교】천국
1930	1901-2000	ĉokolado	low	scope_zh:12	12	11	{Ｂ}【菓】チョコレート; 【料】ココア（飲料）, >>〜	巧克力（糖果、饮料）	초콜릿, 코코아 음료
1944	1901-2000	ĥoro	low	scope_ko:12	7	12	{Ｂ}合唱団, 合唱隊; 合唱, 合唱曲, =koruso; 【劇】コロス（古代ギリシャ演劇でそろって歌い踊る一群）	歌舞团；歌舞；歌咏队	합창단, 성가대
1949	1901-2000	ĵurnalo	low	scope_zh:12	12	10	{Ｂ}（日刊）新聞; 日記, =taglibro; 【情】ログ; 【商】仕訳帳	日报，报纸，日记（帐）；（计）日志	신문, 특히 일간 신문；（컴퓨터） 로그
1959	1901-2000	ŝelo	low	scope_zh:16|scope_ko:22	16	22	{Ｂ}（生物の）外皮, 皮, 樹皮, 殻（から）, 甲; 【海】船体; 【空】（航空機の）機体 / 【情】シェル, =komandinterpretilo	皮层，树皮；壳；外壳	껍질, 껍데기
1965	1901-2000	ŝirmi	low	scope_ko:14	9	14	{Ｂ}［他］かばう, おおう; 防ぐ, 保護する, 守る; さえぎる, よける; 【理】遮蔽する	遮蔽；保护，掩护；防止	위험이나 손상으로부터 보호하다
1967	1901-2000	ŝmiri	low	scope_zh:12|scope_ko:13	12	13	{Ｂ}［他］（油などを）塗る, 塗布する; （機械などに）グリースを塗る, 油を差す, >>〜; 《転》買収する	涂，抹，贿赂	바르다, 칠하다
1981	1901-2000	ŝtopi	low	scope_ko:13	10	13	{Ｂ}［他］（穴・隙間などを）ふさぐ, 栓をする, 詰め物をする, 埋める; ふさいで邪魔をする, 閉鎖する; 詰めこむ, いっぱいにする; （布や編み物の穴を）繕う, かがる, >>〜	堵塞；填满；封闭；（织物破损处）补上	막다, 가득 채우다, 봉쇄하다, （직물의 구멍을）꿰매 메우다
1984	1901-2000	ŝuldi	low	scope_zh:12	12	11	{Ｂ}［他］借りがある; 【商】債務を負う; （精神的）義務がある; 恩義を受けている, おかげである	欠，负有责任或义务	빚지다, 의무를 지다
2000	1901-2000	-id-	low	scope_zh:13	13	10	{Ｂ}［接尾辞］（子・子孫を示す）, >>reĝ〜o, >>kok〜o / ［学術接尾辞］（化合物を示す）, >>cian〜o, >>klor〜o	[后缀] 表示后代、子孙 / [化学] 表示化合物	자손, 새끼를 나타내는 접미사；（화학） 화합물 접미사
2020	2001-2100	agordi	low	scope_ko:14	10	14	{Ｏ}［他］【楽】調律する, 音を合わせる; 【通】同調させる; 【情】設定する, セットアップする; 《転》（人を～な）気分にさせる	[乐] 调音；[无线] 调谐；[计] 设置；使产生某种心情	조율하다; (무선) 동조하다; (컴퓨터) 설정하다
2070	2001-2100	distrikto	low	scope_zh:24|scope_ko:24	24	24	{Ｏ}【政】行政区, 地区, 地方, >>〜, >>〜, >>departemento, >>kantono, >>〜	行政区，地区	행정구역, 관할구
2080	2001-2100	elimini	low	scope_zh:13|scope_ko:16	13	16	{Ｂ}［他］除去する, 取り除く, 削除する; ふるい落とす; 【医】排出する; 【数】消去する	消除，排除；淘汰	없애다, 제거하다
2094	2001-2100	faktoro	low	scope_zh:17|scope_ko:17	17	17	{Ｏ}要因, 因子, ファクター; 【数】因数; 【理】因子, 率; 【商】仲買人, 代理業者	因素，要素；[数] 因子	요인, 요소; (수학) 인수
2117	2101-2200	frakcio	low	scope_zh:12	12	11	{Ｏ}【数】分数; 【化】留分; 【政】分派, フラクション	[数] 分数；派别	(수학) 분수; (정치) 파벌
2139	2101-2200	ideologio	low	scope_zh:12	12	10	{Ｏ}イデオロギー, 観念形態; 【哲】観念学; 《転》空理空論	意识形态	이데올로기, 사회·정치 사상체계
2145	2101-2200	indico	low	scope_zh:15|scope_ko:16	15	16	{Ｂ}【学】指数, 率; 【学】添え字（変数の右下につける）; 《古》=indikaĵo（徴候）	指数，指标	지수
2160	2101-2200	kancero	low	scope_zh:14|scope_ko:17	14	17	{Ｏ}【病】がん（癌）, >>tumoro; 【植】腫瘍（しゅよう）; 【動】イチョウガニ（属）	[医] 癌；[天] 巨蟹座	악성 종양, 암
2165	2101-2200	karcero	low	scope_zh:16|scope_ko:15	16	15	{Ｏ}独房; 監房, 牢（ろう）; 留置場; 監獄, 刑務所; 【軍】営倉	牢房，禁闭室	감옥의 독방, 감방
2177	2101-2200	kodo	low	scope_ko:12	11	12	{Ｏ}【法】法典; （電信などの）符号, 暗号; 【情】符号, コード	法典；代码	부호나 암호 체계
2179	2101-2200	kolbaso	low	scope_zh:13|scope_ko:13	13	13	{Ｏ}【料】ソーセージ, >>〜; 【建】（火薬を詰めた）導火嚢（どうかのう）	香肠	소시지
2194	2101-2200	konko	low	scope_zh:15	15	9	{Ｏ}【動】貝殻, （カタツムリの）殻; 《転》貝殻形のもの; 【解】甲介	贝壳	조가비, 조개껍질; 조개껍질 모양 물건
2206	2201-2300	kopii	low	scope_zh:19|scope_ko:19	19	19	{Ｏ}［他］写しとる, 複写する, 模写する; 【情】コピーする, 複写する; 【写】（印画紙に）焼付ける, 焼増しする, >>printi	复制，抄写	베끼거나 복사하다
2214	2201-2300	lanĉi	low	scope_ko:17	10	17	{Ｏ}［他］放つ, 発射する; 世に送り出す; 【海】進水させる; 【情】（プログラムを）起動する, 立ち上げる	发射；推出（新产品）；[计] 启动	발사하다
2219	2201-2300	lumbo	low	scope_zh:12	12	11	{Ｏ}【解】腰, 腰部（背中の下部）, >>〜, >>〜	腰	허리, 요부
2226	2201-2300	manifestacio	low	scope_zh:13	13	9	{Ｏ}【政】デモ, 示威運動, 示威行進, >>parado, >>procesio	示威游行	정치적 주장 위한 시위, 데모
2230	2201-2300	masko	low	scope_zh:13|scope_ko:12	13	12	{Ｏ}仮面, 面（めん）, 覆面, マスク; 【写】（覆い焼きの）マスク; 《転》（いつわりの）仮面	面具，口罩	얼굴을 가리는 가면
2235	2201-2300	merkato	low	scope_zh:12	12	10	{Ｏ}【経】市場（しじょう）, 販路; 取引, 売買, >>〜	市场	상품이 오가는 시장
2241	2201-2300	miopa	low	scope_zh:12	12	11	{Ｏ}【医】近視の, 近眼の, >>hipermetropa, >>presbiopa	近视的	근시의, 근시안의
2244	2201-2300	monopolo	low	scope_zh:12	12	11	{Ｏ}【経】独占; 専売; 《転》占有, 独り占め	垄断	경제상의 독점
2245	2201-2300	motivo	low	scope_zh:12	12	11	{Ｏ}動機, 理由, 根拠; 【芸】モチーフ, 主題; 【楽】モチーフ, 動機	动机；[艺] 主题	어떤 행동을 하게 되는 동기, 이유
2249	2201-2300	negativa	low	scope_zh:23|scope_ko:28	23	28	{Ｏ}消極的な; 否定的な; 【電】陰の; 【理】負の, Ｓ極の; 【数】負の; >>〜, ><〜	消极的；否定的；负的	부정적인, 소극적인
2258	2201-2300	nukleo	low	scope_zh:12|scope_ko:12	12	12	{Ｂ}【理】原子核, =atomkerno; 【生】（細胞）核, =ĉelkerno	核，原子核	핵, 원자핵·세포핵
2261	2201-2300	objektiva	low	scope_zh:18|scope_ko:14	18	14	{Ｏ}客観的な, 実在の, ><〜; 偏りのない, 公正な; 【医】他覚性の; 【理】（レンズが）対物の	客观的	편견 없이 사실을 보는, 객관적인
2263	2201-2300	operacio	low	scope_zh:19|scope_ko:18	19	18	{Ｂ}【医】手術; 【商】操作; 【数】【情】演算; 【軍】=operaco（作戦）	手术；操作；运算	수술; 조작, 운용; 연산
2264	2201-2300	opozicio	low	scope_zh:17|scope_ko:18	17	18	{Ｂ}（政治上の）反対, 対立; 【政】反対派, 野党; 【天】衝（しょう）; 【理】逆位相	反对；反对派	정치적 반대, 야당
2270	2201-2300	paralela	low	scope_zh:23|scope_ko:22	23	22	{Ｂ}【数】平行の; 並列の, 平行する; 【電】並列の; 【情】パラレルの, >>seria	平行的	평행한, 나란한
2284	2201-2300	pozitiva	low	scope_zh:36|scope_ko:34	36	34	{Ｏ}積極的な, 建設的な, 実際的な, 現実的な, 確実な; 肯定的な; 実証的な; 【電】陽の; 【理】正の, Ｎ極の; 【数】正の; 【写】ポジの; >>〜, ><〜	积极的；肯定的；正的	긍정적인, 【전기】양의, 【수학】양수의
2291	2201-2300	proporcio	low	scope_zh:12	12	10	{Ｏ}割合, 釣合, 比率; 【数】比例, >>rilatumo	比例	비율, 비례 관계
2293	2201-2300	protokolo	low	scope_zh:12	12	11	{Ｏ}議事録, 調書, 議定書; 【情】ログ, 運転記録; 【情】プロトコル, 通信規約	协议，议定书；记录	회의나 사건을 적어 남긴 공식 기록
2303	2301-2400	referenco	low	scope_zh:13	13	11	{Ｏ}参照, 照合, 参考; 身元保証書; 【情】（変数の）ポインター; （参照用の）基準	参考，参照	다른 자료를 대조하여 참고함
2313	2301-2400	rubo	low	scope_zh:23|scope_ko:20	23	20	{Ｏ}瓦礫, 残骸; がらくた, くず; 【地質】岩屑（がんせつ）; 【環】=rubaĵo（廃棄物）; 《転》がらくた, 無価値なもの	垃圾，废料	쓰레기, 파편 따위의 버려진 것
2316	2301-2400	satelito	low	scope_zh:18|scope_ko:15	18	15	{Ｏ}【天】衛星; 人工衛星; 《転》衛星国, 衛星都市; 《転》（追従する）手下, 取り巻き	卫星	행성을 도는 위성, 인공위성
2317	2301-2400	sfero	low	scope_zh:18|scope_ko:17	18	17	{Ｏ}【数】球, 球面; =〜（球体）; 【史】（天体の）軌道; 《転》領域, 範囲, 圏	球体；领域	구체, 둥근 공 모양의 것
2320	2301-2400	simbolo	low	scope_zh:19|scope_ko:16	19	16	{Ｏ}象徴, シンボル, >>emblemo; 【化】【数】記号; 【カ】信経	象征，符号	어떤 개념을 드러내는 표시, 상징
2323	2301-2400	skeleto	low	scope_zh:24|scope_ko:20	24	20	{Ｏ}【解】骨格, 骸骨; 【生】外骨格; （建物などの）骨組み; 《転》骨子, 概略; 《転》やせこけた人	骨骼	몸의 뼈대가 되는 구조, 해골
2330	2301-2400	stabila	low	scope_zh:19|scope_ko:16	19	16	{Ｏ}安定した, 永続する; 【理】安定な, >>meta〜, >>〜, >>labila	稳定的	안정된, 변하지 않는, 견고한
2332	2301-2400	stampi	low	scope_ko:12	11	12	{Ｂ}［他］スタンプを押す, 消印を押す; 刻印する; 《転》刻み込む; 《転》特徴づける	盖章；铭刻	도장이나 소인을 찍다
2334	2301-2400	stimuli	low	scope_zh:15|scope_ko:16	15	16	{Ｏ}［他］激励する, 励ます; 刺激する, >>〜, >>vigligi, >>sproni	刺激，激励	격려하다
2346	2301-2400	tajdo	low	scope_zh:12	12	9	{Ｂ}【海】潮（の干満）, 潮汐; 潮流; 《転》時流	潮汐	조수, 바닷물의 간만 현상
2349	2301-2400	taktiko	low	scope_zh:15|scope_ko:15	15	15	{Ｏ}【軍】戦術, 用兵, >>strategio; 《転》駆け引き, 策略, 術策	战术	전술
2357	2301-2400	templo	low	scope_zh:16|scope_ko:13	16	13	{Ｏ}【史】（古代ギリシャ・ローマなどの）神殿; 【宗】寺院, 聖堂, 礼拝堂, 教会堂; 《転》殿堂	庙宇，神殿	신전이나 사원 같은 종교적 건물
2362	2301-2400	tezo	low	scope_zh:21|scope_ko:20	21	20	{Ｏ}主張, 説; 【論】命題, 定立, 提題; 【政】テーゼ; 【学】=disertacio（学位論文）	论题，论点	논리나 철학에서의 명제
2367	2301-2400	unio	low	scope_zh:16|scope_ko:14	16	14	{Ｏ}【政】同盟, 連合, >>unuiĝo, >>〜, >>konfederacio	联盟	정치적 동맹, 연합
2369	2301-2400	uragano	low	scope_zh:19|scope_ko:17	19	17	{Ｏ}（旋風性の）大暴風; 【気】颶風（ぐふう）（風力階級12）, >>〜, >>〜; 《転》あらし（嵐）	飓风	맹렬한 대폭풍, 허리케인
2374	2301-2400	valuto	low	scope_zh:13|scope_ko:12	13	12	{Ｏ}【経】通貨; 外国為替; 為替相場, >>devizkurzo	货币	통화, 화폐
2379	2301-2400	vertikala	low	scope_zh:14	14	9	{Ｂ}【数】【理】鉛直の; （地面に）垂直な, 縦の, >>〜	垂直的	수직의, 땅에 대해 곧게 선, 세로의
2400	2301-2400	ŝtormo	low	scope_zh:15|scope_ko:12	15	12	{Ｏ}暴風, あらし; 【気】強風（風力階級７～10）, >>〜, >>〜	风暴	거센 폭풍, 강한 바람
2401	2401-2500	ŝvebi	low	scope_zh:19|scope_ko:23	19	23	{Ｏ}［自］（空中に）浮かぶ, ただよう, 舞う, 滑空する; すべるように動く; 【理】（水中で）漂う, >>flosi, >>sinki; 《転》（心などに）浮かぶ; 《転》宙づりになっている	悬浮；漂浮；滑翔；《转》（心中）浮现	공중이나 물속에 떠서 부드럽게 움직이다, 《전》（마음에）떠오르다
2434	2401-2500	agordo	low	scope_zh:12	12	10	{Ｂ}【楽】調律; 【通】同調; （心の）調和	（各种乐器的）和音	악기 음을 맞춤
